message,compound,neg,neu,pos
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",-0.6562,0.26,0.74,0.0
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0.8145,0.054,0.711,0.236
K tell me anything about you.,0.0,0.0,1.0,0.0
For fear of fainting with the of all that housework you just did? Quick have a cuppa,-0.4939,0.176,0.824,0.0
Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0.1531,0.0,0.94,0.06
"Oops, I'll let you know when my roommate's done",0.0,0.0,1.0,0.0
I see the letter B on my car,0.0,0.0,1.0,0.0
Anything lor... U decide...,0.0,0.0,1.0,0.0
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0.2924,0.0,0.928,0.072
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0.7717,0.0,0.609,0.391
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0.875,0.053,0.615,0.332
WHO ARE YOU SEEING?,0.0,0.0,1.0,0.0
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0.8977,0.0,0.371,0.629
No calls..messages..missed calls,-0.296,0.524,0.476,0.0
Didn't you get hep b immunisation in nigeria.,0.0,0.0,1.0,0.0
"Fair enough, anything going on?",0.3182,0.0,0.635,0.365
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0.5994,0.0,0.671,0.329
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0.6513,0.136,0.569,0.295
What you thinked about me. First time you saw me in class.,0.0,0.0,1.0,0.0
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0.6705,0.0,0.756,0.244
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0.1027,0.0,0.896,0.104
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0.9397,0.063,0.684,0.253
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0.0,0.0,1.0,0.0
"Sorry, I'll call later in meeting.",-0.0772,0.206,0.794,0.0
Tell where you reached,0.1027,0.0,0.682,0.318
Yes..gauti and sehwag out of odi series.,0.0,0.0,1.0,0.0
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,-0.4015,0.169,0.728,0.104
Ha ha ha good joke. Girls are situation seekers.,0.8834,0.0,0.245,0.755
Its a part of checking IQ,0.0,0.0,1.0,0.0
"Sorry my roommates took forever, it ok if I come by now?",0.2263,0.104,0.72,0.176
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0.2023,0.16,0.649,0.191
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0.4678,0.0,0.832,0.168
I plane to give on this month end.,0.0,0.0,1.0,0.0
Wah lucky man... Then can save money... Hee...,0.7184,0.0,0.5,0.5
Finished class where are you.,0.0,0.0,1.0,0.0
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0.0,0.0,1.0,0.0
K..k:)where are you?how did you performed?,0.0,0.0,1.0,0.0
U can call me now...,0.0,0.0,1.0,0.0
I am waiting machan. Call me once you free.,0.5106,0.0,0.68,0.32
Thats cool. i am a gentleman and will treat you with dignity and respect.,0.8689,0.0,0.426,0.574
I like you peoples very much:) but am very shy pa.,-0.2936,0.232,0.63,0.138
Does not operate after  &lt;#&gt;  or what,0.0,0.0,1.0,0.0
Its not the same here. Still looking for a job. How much do Ta's earn there.,0.0,0.0,1.0,0.0
"Sorry, I'll call later",-0.0772,0.302,0.698,0.0
K. Did you call me just now ah? ,0.0,0.0,1.0,0.0
Ok i am on the way to home hi hi,0.296,0.0,0.784,0.216
You will be in the place of that man,0.0,0.0,1.0,0.0
Yup next stop.,-0.296,0.524,0.476,0.0
"I call you later, don't have network. If urgnt, sms me.",0.0,0.0,1.0,0.0
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0.0,0.0,1.0,0.0
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,-0.5574,0.134,0.811,0.056
I'm really not up to it still tonight babe,0.0,0.0,1.0,0.0
"Ela kano.,il download, come wen ur free..",0.0,0.0,1.0,0.0
Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,0.4184,0.0,0.764,0.236
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,-0.7269,0.224,0.723,0.053
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0.9421,0.193,0.255,0.552
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0.0,0.0,1.0,0.0
Watching telugu movie..wat abt u?,0.0,0.0,1.0,0.0
i see. When we finish we have loads of loans to pay,-0.1027,0.123,0.877,0.0
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham""",0.636,0.0,0.86,0.14
Please don't text me anymore. I have nothing else to say.,0.3182,0.0,0.796,0.204
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0.4003,0.0,0.802,0.198
I'm still looking for a car to buy. And have not gone 4the driving test yet.,0.0,0.0,1.0,0.0
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0.4767,0.0,0.89,0.11
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0.6239,0.0,0.887,0.113
Umma my life and vava umma love you lot dear,0.7783,0.0,0.541,0.459
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0.8519,0.0,0.538,0.462
"Aight, I'll hit you up when I get some cash",0.0,0.0,1.0,0.0
How would my ip address test that considering my computer isn't a minecraft server,0.0,0.0,1.0,0.0
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0.871,0.0,0.624,0.376
Dont worry. I guess he's busy.,0.3412,0.0,0.624,0.376
What is the plural of the noun research?,0.0,0.0,1.0,0.0
Going for dinner.msg you after.,0.0,0.0,1.0,0.0
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0.5106,0.116,0.598,0.287
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0.6222,0.0,0.767,0.233
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0.7896,0.0,0.794,0.206
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0.508,0.0,0.753,0.247
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0.1513,0.0,0.898,0.102
here is my new address -apples&pairs&all that malarky,0.0,0.0,1.0,0.0
I am going to sao mu today. Will be done only at 12 ,0.0,0.0,1.0,0.0
ÌÏ predict wat time Ì_'ll finish buying?,0.0,0.0,1.0,0.0
"Good stuff, will do.",0.4404,0.0,0.508,0.492
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0.6275,0.0,0.864,0.136
Are you there in room.,0.0,0.0,1.0,0.0
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0.627,0.101,0.656,0.243
K..k:)how much does it cost?,0.0,0.0,1.0,0.0
I'm home.,0.0,0.0,1.0,0.0
"Dear, will call Tmorrow.pls accomodate.",0.3818,0.0,0.606,0.394
First answer my question.,0.0,0.0,1.0,0.0
I only haf msn. It's yijue@hotmail.com,0.0,0.0,1.0,0.0
He is there. You call and meet him,0.0,0.0,1.0,0.0
No no. I will check all rooms befor activities,-0.5267,0.423,0.577,0.0
Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,0.3612,0.097,0.722,0.181
"K, text me when you're on the way",0.0,0.0,1.0,0.0
"Sir, Waiting for your mail.",0.0,0.0,1.0,0.0
"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",0.2075,0.105,0.76,0.135
I know you are. Can you pls open the back?,0.0772,0.0,0.86,0.14
Yes see ya not on the dot,0.4019,0.0,0.69,0.31
Whats the staff name who is taking class for us?,0.0,0.0,1.0,0.0
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0.3872,0.094,0.666,0.24
K..i deleted my contact that why?,0.0,0.0,1.0,0.0
Sindu got job in birla soft ..,0.0,0.0,1.0,0.0
The wine is flowing and i'm i have nevering..,0.0,0.0,1.0,0.0
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0.1779,0.146,0.662,0.192
Ok... Ur typical reply...,0.0,0.0,1.0,0.0
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0.4767,0.0,0.89,0.11
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0.8271,0.029,0.826,0.145
Aaooooright are you at work?,0.0,0.0,1.0,0.0
I'm leaving my house now...,0.0,0.0,1.0,0.0
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0.89,0.054,0.659,0.287
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0.0516,0.15,0.732,0.118
New car and house for my parents.:)i have only new job in hand:),0.0,0.0,1.0,0.0
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0.9122,0.0,0.563,0.437
I place all ur points on e cultures module already.,0.0,0.0,1.0,0.0
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0.743,0.112,0.508,0.381
Great escape. I fancy the bridge but needs her lager. See you tomo ,0.4404,0.0,0.719,0.281
Yes :)it completely in out of form:)clark also utter waste.,-0.0258,0.207,0.593,0.2
"Sir, I need AXIS BANK account no and bank address.",-0.296,0.216,0.784,0.0
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",0.6808,0.0,0.741,0.259
What time you coming down later? ,0.0,0.0,1.0,0.0
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",-0.8834,0.407,0.593,0.0
"Well, i'm gonna finish my bath now. Have a good...fine night.",0.2732,0.0,0.811,0.189
Let me know when you've got the money so carlos can make the call,0.0,0.0,1.0,0.0
U still going to the mall?,0.0,0.0,1.0,0.0
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0.8214,0.0,0.737,0.263
Text her. If she doesnt reply let me know so i can have her log in,0.0,0.0,1.0,0.0
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0.8553,0.065,0.592,0.343
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0.5267,0.087,0.73,0.183
Lol no. U can trust me.,0.5994,0.214,0.194,0.592
ok. I am a gentleman and will treat you with dignity and respect.,0.8658,0.0,0.395,0.605
"He will, you guys close?",0.0,0.0,1.0,0.0
Going on nothing great.bye,0.0,0.0,1.0,0.0
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0.7151,0.051,0.738,0.211
"Haha awesome, be there in a minute",0.7964,0.0,0.36,0.64
Have you got Xmas radio times. If not i will get it now,0.0,0.0,1.0,0.0
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0.1027,0.0,0.915,0.085
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0.9451,0.028,0.641,0.331
Hi :)finally i completed the course:),0.0,0.0,1.0,0.0
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,-0.296,0.099,0.901,0.0
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0.765,0.0,0.708,0.292
Gud mrng dear hav a nice day,0.6597,0.0,0.426,0.574
Did u got that persons story,0.0,0.0,1.0,0.0
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,-0.6868,0.28,0.72,0.0
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0.3382,0.12,0.686,0.195
"Found it, ENC  &lt;#&gt; , where you at?",0.0,0.0,1.0,0.0
I sent you  &lt;#&gt;  bucks,0.0,0.0,1.0,0.0
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0.6369,0.0,0.781,0.219
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0.4939,0.0,0.873,0.127
Goodmorning sleeping ga.,0.0,0.0,1.0,0.0
U call me alter at 11 ok.,0.296,0.0,0.694,0.306
ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,0.3612,0.0,0.815,0.185
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0.7896,0.0,0.794,0.206
"Aight yo, dats straight dogg",0.2263,0.0,0.678,0.322
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0.3182,0.0,0.839,0.161
Both :) i shoot big loads so get ready!,0.5676,0.178,0.371,0.451
"What's up bruv, hope you had a great break. Do have a rewarding semester.",0.886,0.0,0.464,0.536
Home so we can always chat,0.0,0.0,1.0,0.0
K:)k:)good:)study well.,0.2732,0.0,0.323,0.677
Yup... How Ì_ noe leh...,0.0,0.0,1.0,0.0
Sounds great! Are you home now?,0.6588,0.0,0.532,0.468
Finally the match heading towards draw as your prediction.,0.0,0.0,1.0,0.0
Tired. I haven't slept well the past few nights.,-0.5739,0.44,0.56,0.0
Easy ah?sen got selected means its good..,0.4404,0.0,0.674,0.326
I have to take exam with march 3,0.0,0.0,1.0,0.0
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0.7207,0.096,0.661,0.243
Ok no prob. Take ur time.,0.0,0.262,0.476,0.262
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0.2723,0.0,0.9,0.1
"Sorry, I'll call later",-0.0772,0.302,0.698,0.0
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,-0.6362,0.215,0.785,0.0
Would really appreciate if you call me. Just need someone to talk to.,0.4576,0.0,0.8,0.2
Hey company elama po mudyadhu.,-0.5574,0.474,0.526,0.0
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",0.5719,0.0,0.866,0.134
Dear good morning now only i am up,0.6705,0.0,0.476,0.524
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,-0.2732,0.1,0.9,0.0
Dear we are going to our rubber place,0.3818,0.0,0.729,0.271
"Sorry battery died, yeah I'm here",-0.4019,0.485,0.297,0.218
Yes:)here tv is always available in work place..,0.0,0.0,1.0,0.0
I have printed it oh. So  &lt;#&gt;  come upstairs,0.0,0.0,1.0,0.0
Or ill be a little closer like at the bus stop on the same street,-0.4173,0.274,0.604,0.122
Where are you?when wil you reach here?,0.1179,0.0,0.804,0.196
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",0.7239,0.145,0.554,0.301
Tomarrow final hearing on my laptop case so i cant.,0.0,0.0,1.0,0.0
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,0.0,0.0,1.0,0.0
"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",0.4767,0.156,0.585,0.259
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",0.5704,0.0,0.871,0.129
U don't remember that old commercial?,0.0,0.0,1.0,0.0
Too late. I said i have the website. I didn't i have or dont have the slippers,0.0,0.0,1.0,0.0
I asked you to call him now ok,0.296,0.0,0.732,0.268
Kallis wont bat in 2nd innings.,0.0,0.0,1.0,0.0
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,0.8028,0.067,0.646,0.288
Ranjith cal drpd Deeraj and deepak 5min hold,0.0,0.0,1.0,0.0
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",0.8261,0.186,0.471,0.343
What you doing?how are you?,0.0,0.0,1.0,0.0
"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",-0.6486,0.135,0.865,0.0
"I'm back, lemme know when you're ready",0.3612,0.0,0.706,0.294
Don't necessarily expect it to be done before you get back though because I'm just now headin out,0.0,0.0,1.0,0.0
Mmm so yummy babe ... Nice jolt to the suzy,0.7574,0.0,0.552,0.448
Where are you lover ? I need you ...,0.5859,0.0,0.612,0.388
IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?,0.0,0.0,1.0,0.0
Yup,0.0,0.0,1.0,0.0
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,-0.4019,0.144,0.856,0.0
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,-0.4981,0.244,0.756,0.0
Why you Dint come with us.,0.0,0.0,1.0,0.0
Same. Wana plan a trip sometme then,0.0,0.0,1.0,0.0
"Not sure yet, still trying to get a hold of him",-0.2411,0.179,0.821,0.0
The evo. I just had to download flash. Jealous?,-0.4588,0.3,0.7,0.0
"Come to mu, we're sorting out our narcotics situation",0.0,0.0,1.0,0.0
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",0.7717,0.077,0.634,0.289
"Usf I guess, might as well take 1 car",0.2732,0.0,0.741,0.259
No objection. My bf not coming.,-0.296,0.306,0.694,0.0
Thanx...,0.0,0.0,1.0,0.0
Tell rob to mack his gf in the theater,-0.5574,0.31,0.69,0.0
"Awesome, I'll see you in a bit",0.6249,0.0,0.549,0.451
Just sent it. So what type of food do you like?,0.3612,0.0,0.8,0.2
All done? All handed in? Celebrations in full swing yet?,0.0,0.0,1.0,0.0
You got called a tool?,0.0,0.0,1.0,0.0
\Wen u miss someone,-0.1531,0.444,0.556,0.0
Ok. I asked for money how far,0.296,0.0,0.694,0.306
Okie...,0.0,0.0,1.0,0.0
"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",0.296,0.0,0.913,0.087
"K, I might come by tonight then if my class lets out early",0.0,0.0,1.0,0.0
Ok..,0.0,0.0,1.0,0.0
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,0.8555,0.0,0.755,0.245
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",-0.5627,0.188,0.726,0.087
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",0.4404,0.0,0.868,0.132
Hey you told your name to gautham ah?,0.0,0.0,1.0,0.0
Haf u found him? I feel so stupid da v cam was working.,-0.656,0.327,0.673,0.0
Oops. 4 got that bit.,0.0,0.0,1.0,0.0
Are you this much buzy,0.0,0.0,1.0,0.0
I accidentally deleted the message. Resend please.,-0.0258,0.276,0.46,0.264
Unless it's a situation where YOU GO GURL would be more appropriate,0.0,0.0,1.0,0.0
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,-0.9304,0.393,0.505,0.102
I cant pick the phone right now. Pls send a message,0.0772,0.0,0.86,0.14
Need a coffee run tomo?Can't believe it's that time of week already,0.0,0.0,1.0,0.0
"Awesome, I remember the last time we got somebody high for the first time with diesel :V",0.6249,0.0,0.785,0.215
"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",-0.861,0.327,0.59,0.082
Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,0.1511,0.0,0.923,0.077
He is a womdarfull actor,0.0,0.0,1.0,0.0
Yup... From what i remb... I think should be can book... ,0.0,0.0,1.0,0.0
Jos ask if u wana meet up?,0.0,0.0,1.0,0.0
Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,0.8126,0.0,0.517,0.483
Where are the garage keys? They aren't on the bookshelf,0.0,0.0,1.0,0.0
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,0.6166,0.166,0.552,0.283
He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,0.5499,0.0,0.861,0.139
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",0.5423,0.072,0.748,0.181
You made my day. Do have a great day too.,0.6249,0.0,0.661,0.339
K.k:)advance happy pongal.,0.5719,0.0,0.351,0.649
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",0.4588,0.0,0.875,0.125
"Not really dude, have no friends i'm afraid :(",-0.3102,0.371,0.415,0.214
"Coffee cake, i guess...",0.0,0.0,1.0,0.0
"Merry Christmas to you too babe, i love ya *kisses*",0.8271,0.0,0.476,0.524
Hey... Why dont we just go watch x men and have lunch... Haha ,0.4588,0.0,0.786,0.214
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,0.0,0.0,1.0,0.0
That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,0.807,0.0,0.787,0.213
No problem. How are you doing?,-0.5994,0.551,0.449,0.0
No calls..messages..missed calls,-0.296,0.524,0.476,0.0
Hi da:)how is the todays class?,0.0,0.0,1.0,0.0
"I'd say that's a good sign but, well, you know my track record at reading women",0.5574,0.0,0.739,0.261
"Cool, text me when you're parked",0.3182,0.0,0.685,0.315
I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,0.296,0.0,0.885,0.115
K.k:)apo k.good movie.,0.0,0.0,1.0,0.0
Maybe i could get book out tomo then return it immediately ..? Or something.,0.0,0.0,1.0,0.0
Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,-0.6664,0.179,0.711,0.111
"Ta-Daaaaa! I am home babe, are you still up ?",0.0,0.0,1.0,0.0
Cool. So how come you havent been wined and dined before?,0.3182,0.0,0.813,0.187
Just sleeping..and surfing,0.0,0.0,1.0,0.0
"Sorry, I'll call later",-0.0772,0.302,0.698,0.0
U calling me right? Call my hand phone...,0.4939,0.0,0.652,0.348
Ok that's great thanx a lot.,0.743,0.0,0.323,0.677
I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,0.7955,0.0,0.798,0.202
Where u been hiding stranger?,-0.296,0.423,0.577,0.0
Am not interested to do like that.,0.0624,0.231,0.512,0.256
My sister cleared two round in birla soft yesterday.,0.1027,0.0,0.851,0.149
Gudnite....tc...practice going on,0.0,0.0,1.0,0.0
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,0.0,0.0,1.0,0.0
One small prestige problem now.,-0.4019,0.403,0.597,0.0
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,0.4976,0.104,0.667,0.228
"Nah can't help you there, I've never had an iphone",-0.3935,0.314,0.686,0.0
If you're not in my car in an hour and a half I'm going apeshit,-0.2263,0.128,0.872,0.0
"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",-0.7207,0.33,0.462,0.208
Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,0.4939,0.0,0.89,0.11
&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,-0.6739,0.43,0.57,0.0
"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",0.7906,0.0,0.789,0.211
"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",0.0,0.0,1.0,0.0
