Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To
Email Account Upgrade,"Dear User,

Someone else was trying to use your Berkeley ID to sign into iCloud via a web browser.

Date and Time: 28 October 2016, 1:38 PM
Browser: Firefox
Operating System: Windows
Location:Thailand


If the information above looks familiar, you can disregard this email.
If you have not recently and believe someone may be trying to access your account, you should Click Here <http://goo.gl/rk87KW>.", 10/28/2016 ,4:38 PM,na,Plain url,upgrade,Y,Technical Support Team,"Sincerely,", itcsshelp@berkeley.edu,na,B
Irregular Activity,"From: BankOfAmerica
Subject: Irregular Activity
Date: 10/20/2016 7:27 AM

We have detected irregular activity on your account on the date 10/20/2016. For your protection, we have temporary limited your account.
In order to regain full access to your account, you must verify this activity before you can continue using your account. We have sent you an attachment , open it and follow the steps to verify your account. Once completed, please allow up to 48h to update.

Copyright © 2016 BankOfAmerica, All rights reserve

IrregularActivityFile.html
",10/20/16,7:27 AM,na,Plain url,"protection, update, irregular activity",Y,"Copyright © 2016 BankOfAmerica, All rights reserve",na,na,na,B
Messages containing Locky malware,"Hello,

Please sign the attached contract with our technical service company for 2016  2017.
We would appreciate your quick response.",24 Aug 2016 ,20:29:58,Wed,na,financial,Y,(Digital-Signature: f0a0e01386d19b03736165288026cc97e325560c78700e95),"King regards,", Curtis.8271@brasiltelecom.net.br,na,B
Messages containing Locky malware,"Hi,

The monthly financial statement is attached within the email.
Please review it before processing.",8/24/16,8:44:09,Wed,na,financial,Y,(Topic-ID: b0b82053c611db43b3a1a568c0660cd72365964cb8b04ed5),"King regards,", Curtis.8271@brasiltelecom.net.br,na,B
Vital Info,"Hello,  Please refer to the vital info I've shared with you using Google Drive.  Click https://www.google.com/drive/docs/file0116 and sign in to view details..","May 23, 2016 ",2:56 PM,Mon,URL,vital,Y,"Readmission Representative
Office of the Registrar",Regard,na,na,B
bCourses Phish Attack,"Dear User,

This message is to inform you that your access to bCourses will soon
expire.  You will have to log in to your account to continue to have access
to this service.

You need to reactivate it just by logging in through the following URL.  A
a successful login will activate your account, and you will be redirected to
your bCourses page.

http://bcourses.berkeley.cnea.gq/login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm/

If you are not able to login, please contact Mary Patel at mpatel@berkeley.edu(link sends e-mail) for immediate
assistance.",5/20/16,na,na,URL,"expire, access, ",Y,"Berkeley Security
University of California, Berkeley
510-643-6927",Sincerely  ,mpatel@berkeley.edu,na,B
Your account has been Iimited untiI we hear from you,"your account has been suspened , as an error was detected in your informations. The reason for the error is not certain, but for secuirty reasons, we have suspended your account temporarily.",3/22/16,4:14 PM,na,Update your information,suspended,Y,na,na,Acces@up.com,PayPal,NB
RE: Notice from @rescue.org,"Hello Everyone,
 
  There will be additional IT maintenance today between 10am – 11am. During this time, some IT systems and applications used by the IRC globally may be affected, and you may experience brief outages. Please upgrade your mailboxes (size to 20.0GB). by clicking IT SYSTEM AND MAINTENANCE.",3/14/2016 ,7:35 AM,na,IT SYSTEM AND MAINTENANCE.,notice,Y,na,na,Ashley.Mathew@rescue.org,na,NB
Last Reminder You Must Update Your Apple Account Information!,"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support",3/13/16,1:32,na, Verify Now ,"missing, incorrect,last remider",Y,na,na,Appel@support.com,na,NB
Help Deskâ€‹ Notice.,"We detected unknown IP access on our date base computer system our security requires you to verify your account for secure security kindly Click Here and verify your account. 
â€‹
Help Deskâ€‹",3/4/16,4:00 PM,na,Click Here ,"unknown, notice",Y,Help Deskâ€‹,na,jjdoe@capousd.org,,NB
Google Docs Download,You have a pending incoming download docs shared with you via Google docs,2/22/2016 ,5:45 AM,na,Secure Message,Download,na,na,na,Google@Googledocss.com,Google Docs,BN
2015 W-2 statement,"I need all our employee's reference copies of 2015 W-2 wages and tax
statement, i am working on a review and if you can work on the W2's and
have it sent to me as an attachment this morning that will be
splendid. Via email would be appropriate.","Feb 22, 2016 ",8:17 AM,Mon,na,"Tax, attachment",Y,na,Regards.,President@ucop.edu,na,B
Your access has been disabled,"Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account.",2/21/16,4:33 PM,NA,Click here,"disable account access, termination, ",Y,NA,"Sincerely,",no_reply@appsupport.com,na,NB
Dear Email User,"Your password will expire in 2 days, Click Here
to re-change your password immediately.",2/9/16,5:38 PM,NA,Click here,"expire, password, immidiately",Y,"
IT- Help Desk","Thank you,
",jdoe@seedschoolmd.org,na,NB
Help Desk / Password Update,Password will expire in 2 days  Click Here To Validate E-mail,2/2/16,5:01 AM,NA,Click here,"expire, validate",Y,IT-Service Help Desk,"Thank you,
",John.doe@medford.k12.or.us,na,NB
Record Update,"This is an urgent request to update your employment record at the U.S Department of Labor.

Update ", 1/18/2016 ,1:57 PM,NA,Update ,"update, urgent,employment",Y,"U.S Dept. of Labor
Frances Perkins Building, 
200 Constitution Ave., NW, 
Washington, DC 20210",Thank you,records@dol.gov,Department of Labor,NB
Important Update,"As we prepare to start the 2016 Tax filling season, we have undergone slight changes in the filling process to make filling for your refund easier and to prevent unnecessary delays.
Part of the changes include updating our database with your information.
Please ensure to carefully complete this verification to avoid hitches in processing your refund.
We have sent you an attachment, open it and follow the steps to verify your profile.", 1/15/2016,2:58 PM,NA,na,"update, IRS, TAX",Y,IRS Service,na,irs@services.com,na,NB
DHL EXPRESS DOCUMENT,"Your parcel (shipping document) arrived at the post office. Here is your Shipping Document/Invoice and copy of DHL receipt for your tracking which includes the bill of lading and DHL tracking number, the new Import/Export policy supplied by DHL Express. Please kindly check the attached to confirm accordingly if your address is correct, before we submit to our outlet office for dispatch to your destination.",1/15/2016 ,6:47 AM,NA,DHL_EXPRESS.pdf (34Kb) View | Download,"DHL, shipping",Y,DHL EXPRESS,na,office@korloycompany.ro,na,NB
IMPORTANT TAX RETURN DOCUMENT AVAILABLE,"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",1/6/16,5:53:32 AM,NA,Click Here ,"TAX, W2, important",na,NA,na, ESSW2@berkeley.edu,na,NB
"Re:
X-PHP-Originating-Script: 1336:NPS.php","Dear Dr. <recipient's name removed>;

I recently read your last article and it was very useful in my field of research. I wonder, if possible, to send me these articles to use in my current research:

1- http://auth.berkeley.eduh.in/<link removed>

2- http://www.sciencedirect.com/science/article/pii/S1644966515000825(link is external)

Thanks for you Cooperation in Advance.
John Doe
Department of Civil and Environmental Engineering University of Alberta
Phone: (XXX) XXX-XXXX
--21878cacb2d3a784678d12d61f1136d7--",1/2/16, 09:58:07 GMT,Sat,URL,research,Y,Department of Civil and Environmental Engineering University of Alberta,Thanks for you Cooperation in Advance.,john.doe@ulberta.ca,na,NB
Your account on the verge of closure !!,"Dear Client, Recently your account was reviewed and flagged because of a potential connection to some fraudulent transaction. To avoid an eventual restriction to your account, please verify your informations by logging in to our Litigations Manager.", 1/1/2016 ,5:47 AM,na,check my account,"fraudulent, transaction",Y,na,na,support@ppl.com,Pay.service secure,NB
 URGENT: Your New Salary Notification,"Hello, You have an important email from the Human Resources Department with regards to your December 2015 Paycheck

This email is enclosed in the Marquette University secure network, hence access it below

Access the documents here <http://gabrielramon.be/<link removed>

***Ensure your login credentials are correct to avoid cancellations**

Faithfully
Human Resources
University of California, Berkeley",12/10/15,7:22 AM,"Thu,",URL,URGENT,Y,"Human Resources
University of California, Berkeley",Faithfully, HR@berkeley.edu,na,NB
REQUEST,"Hi, a quick message before it skips my mind again. I need you to purchase some gift cards from the store today. We intend to reward some staffs with it. Reply and let me know how soon you can get this done. Also, please keep this confidential pending the time we announce it.","July 16th, 2019",5.22.48PM EDT,na,NA,"Request, gift card",Y,na,na,na,na,B
Lesson Coach Needed,Some hiring stuffs for coach,"July 16th, 2019",12.50pm,Tue,NA,"Needed, employment hire",Y,Colman,Regard,Y,na,B
"Caller from Kent Admin on 16 July, 2019",call missed,"July 16th, 2019",5.12pm,Tue,Na,hiring,Y,Kent support,Regrads,Y,Microsoft,B
REPLY AS SOON AS POSSIBLE,"Bank, important matter to discuss with late client who is dead. Asking for full detail information","July 14th, 2019",11.33am,sun,Email,important,na,,Regards,Y,Na,B
V M 123310719,call missed,"July 10th, 2019",3.29pm,wed,na,missed call,na,na,na,Y,"Microsoft, Office 365",B
inviting you to collaborate on filess,some shred document,"July 10th, 2019",7.56pm,wed,file ,shared,na,na,na,na,Microsoft,B
VM Message attached,call missed,"July 9th, 2019",12.37pm,tue,na,missed call,na,na,na,na,Office 365,B
 Verification Process.,"account verification, microsoft account in kent","July 8th, 2019",8.55am,mon,na,"verification, access",Y,na,Cheers,Y,na,B
Audio received,audio,7/8/19,2.09 pm,mon,na,audio,Y,kent support,na,na,na,B
I AM ASKING FOR YOUR SUPPORT.,Someone lost lifr in Libyan civil war. Help kin," July 5th, 2019",3.18PM,Fri,email,support,Y,na,na,na,na,B
"shared ""DOCX"" with you.",shared docx,"June 27th, 2019",11.55.54 AM,na,doc file,shared,na,na,na,na,microsoft word,B
File has been damaged,shared docx,"june 27th, 2019",4.56am,thur,file ,damaged,Y,na,na,na,Google Drive,B
Kent-Outlook E-Ticket:#JKf1SB3YW5 for @k****edu.,"confirm with microsift, account","June 25th, 2019",1.44am,tue,link,confirm,Y,na,na,na,Microsoft,B
Faculty Evaluation.docx,faculty evaluation,"June 25th, 2019",10.49am,tue,file ,evaluation,Y,ITS service,na,na,microsoft ward,NB
Missed Call,called missed," June 21st, 2019",1.54pm,fri,na,na,na,na,na,na,na,B
TESTi1,"english speaking editor, professional guide, correcting","juen 20, 2019",5.24.03om EDT,na,na,"editor, service",Y,na,"Best Regards,",na,na,NB
 Clustered Alert ID 130423046,some pending message,"June 20th, 2019",11.39am,thur,access message,alert,Y,na,"Best Regards,",Y,microsoft,B
Approved Job Offer,selected for shadow shopper review,"June 20th, 2019",11.39am,thur,apply here now,"approve, offer, ",Y,na,Warm Regards,na,shadowshopper,B
"Agriculture Department shared ""Document"" with you.",internal dept shared document," June 20th, 2019",10.24.01 am,thur,open,"shared, document",Y,na,na,na,Microsoft,B
Advertise While Driving Your Car,job opportuniies and looking for candidate,"June 19th, 2019",1.27pm,wed,na,"hiring, ",na,na,na,na,na,B
Payroll Changes made was successful,chnages in payroll information," June 17th, 2019",4.19pm,mon,payroll verification,"payroll, changes, access, authenticated",na,na,Thank you,na,na,B
Office 6/17/2019 11:56:18 AM,office 465 subscription exrired and. Validation stuff,"June 17th, 2019",5.57am,mon,confirm now,"expire, request,subscritption, validation",Y,na,na,na,Office 365,B
 Office 365 Password About To Expire,office 465 subscription exrired and. Validation stuff,"June 17th, 2019",8.08pm,mon,offcie 365 Admin center,"expire, password, subscription, hold",Y,office 365 Customer Service,Thank you,Y,offcie 365,B
Information.docx,file has been shared In docx,"June 17th, 2019",11.50am,mon,file ,"file, share,docx",Y,na,na,na,docx,B
"Assalamualaikum My Dear Friend,","politiics, legal iisues to retire , million doller to bank, profit"," June 17th, 2019",3.11pm,mon,na,"profit, bank, dollar, million, confirmation",Y,na,thank with my best regards,na,na,B
 You have (15) notification message from your faculty admin,notification message from faculty admin,"June 14th, 2019",11.59am,fri,blackboard faculty admin,"notification, admin, faculty",Y,Y,Thanks,Y,na,B
 Verification Required: Validate Service Request for Kent,email update required and confirm now,"June 13th, 2019",1.06pm,thur,office365 account team,"update, required, confirm, disable, suspense, ",Y,Y,Thanks,Y,offcie 365,B
"Account Activity Request on 13 June, 2019",ms account activation and validation ,"June 13th, 2019",12.50pm,thur,validate now,"activation, validate, immidiate, request",Y,Y,Regrads,Y,microsoft,B
Audio_Message from ext. 4783,audio,"June 12th, 2019",11.16am,wed,na,na,Y,Y,na,Y,na,B
kent.edu Email Deactivation Request,made request to deactivate your account ,"June 11th, 2019",10.50om,tue,na,"deactivate,request",Y,Y,Thanking you,Y,na,B
 Missed Call,caller left a message for you,"June 11th, 2019",1.12 PM,tue,na,message,na,na,na,na,na,B
I BRING CALVARY GREETNG FROM MRS.SUZAN BONI.,money for cancer diagnosied,"June 11th, 2019",8.35am,tue,na,"cancer, diseases, ",na,na,na,na,na,B
please update ppayment,"update payment  and payment declined, ","June 10th, 2019",8.50am,mon,update payment information,"decline, update, payment, failed",Y,Y,S.incerely,Y,na,B
Work Code of Conduct,work conduct for employee in an institution,"June 3rd, 2019",7.36pm,mon,na,"HR, code, employment",Y,Y,"Regards,",Y,na,B
Incoming Email issues,email issues from office 365,"June 3rd, 2019",7.48am,mon,follow simple steps,"issues, email, account,recover, hold",y,y,sincerely,Y,Office365,B
 Your PayPal Payment Receipt of $649.99 to **MCAFEE LLC,"statement of payment , transaction details and log into PayPal account  ","June 2nd, 2019",8.39.55am EDT,na,manage or cancel subscritption,"transaction, payment, account",Y,Y,na,Y,PayPal,B
Pet Sitter Needed,"I need someone to look after my pet, $350 weekly","May 29th, 2019",5.53 pm,wed,na,"needed, ad, ",Y,Y,"Thanks,",Y,na,B
lncoming emails rejected,offi e 365 was unable to deliver ,"May 24th, 2019",1.34pm,fri,Retrieve message,"rejected, unable,",Y,Y,na,Y,na,B
Update ID: Review Message,need to validate account ," May 23rd, 2019",7.40om GMT,na,confirm now,"validate, request,update",Y,Y,na,Y,na,B
We Need Your Confirmation,fund in office that we like to make some clarification,"May 22nd, 2019",7.42.13 am,wed,na,"confirmation, ",Y,Y,Yours in Servic,Y,na,B
Email Security Alert,email storage exceeded the limit and need to upgrade immidiately. ,"May 22nd, 2019",8.36 am,wed,URL Redacted,"exceeded, upgraded, alert, secuirty, data lost,immidiately",Y,Y,na,Y,na,B
Doc___gn Received : ScannedAgreementDOC012.Pdf,doc shared,"May 21st, 2019",3.30pm,tue,Review Document,shared,Y,Y,"Thank you,",Y,Docx,B
Employment Opportunity,"personal assistant, employment opportunity","May 20th, 2019",8.17pm,mon,na,"employment, immidiately",Y,Y,Thank you,Y,na,B
Puppy Sitter:,need puppy sitter ," May 16th, 2019",7.47am,thur,na,"employment, ",Y,Y,na,Y,na,B
Payment receipt,remittance advice for payment ,"May 16th, 2019",12.20pm,thur,file ,payment,Y,Y,na,Y,na,B
 Business/Partnership,deal and interest in business,"May 10th, 2019",1.13am,fri,na,benefits,Y,Y,Sincerely,Y,na,B
SCAN5655,shared file," May 9th, 2019",12.00pm,thur,open doc,share,Y,Y,na,Y,na,B
FW: Action Required: Update your payment information now,payment against office 365 subscription was failed,"May 8th, 2019",9.04pm,wed,URL Redacted,"failed, subscription, payment,admin, update,remove,request",Y,Y,Regards,Y,na,B
 FW: Action Required: Update your payment information now,payment declined for office 365,"May 8th, 2019",7.52pm,wed,update your payment information,"update, declined, payment, ",na,na,"Sincerely,",na,na,B
Due Invoice 10355697 From Cortland Line Company,"file shared about invoices , financial","May 6th, 2019",12.04 pm,mon,file ,"invoice, payment",Y,Y,na,na,na,B
Help,"donating, lottery winner","May 4th, 2019",1.30 am,na,na,"pay, money",Y,Y,na,Y,na,B
KSU Email Notification,email notification regarding fedaral law violation and identity and verification,"May 3rd, 2019",6.09PM,Fri,URL Redacted,"verificationerror, violates, ",Y,Y,"Sincerely,",Y,na,B
" Dear Web-mail User,","remail pending for database upgrade, validate emial account"," May 3rd, 2019",6.39PM,fri,na,"validate, required, upgrade, ",Y,Y,Thanks,Y,na,B
Remittance Payment Advice,attched payment details,"May 2nd, 2019",12.42pm,thur,ACH-Payment.PDf,payment,na,na,Regards,na,na,B
Nancy Smith is inviting you to collaborate on Project Docs,Project docs,"May 2nd, 2019",11.15.53am,thur,pdf ,"project, education",na,na,Thanks,na,Microsoft,B
Project LR342 Quote Request,"project work share, collaboration"," May 1st, 2019",7.14am,wed,link,"peoject, education, request",na,na,na,na,na,B
 Pet Sitter Job,job pet sitter," May 1st, 2019",11.53am,wed,na,employment,na,na,na,na,na,B
"Kent Validation Request on May 01, 2019, 03:00 AM","secuirty update, recommend to validate"," May 1st, 2019",03.00am,wed,validate now,"security, validate, request",Y,Y,Regards,Y,Microsofr,B
(1) Your account has been limited. ID: #R5131.6D9R406MH,office account has limited for payment failing,"April 30th, 2019",5.12.30pm,tue,sign in to customer portal,"limited, validate, account,failed,transaction",Y,Y,"Best Regards,",Y,office 365,B
ADVICE OF DEBIT - BANK CONFIDENTIAL,schedule payment in bank in personal checkin account,"April 29th, 2019",12.03pm,mon,URL Redacted,"payment,account, confidential",Y,Y,"Respectfully yours,",Y,na,B
Message - Time 0:55 Seconds,ausio attached with link," April 26th, 2019",1.23,fri,play,na,Y,Y,na,Y,na,B
 Kent Admin #O38A3S#,mandatory account review process,"April 26th, 2019",2.37pm,Fri,confirm now,"mandatory, acount, require, admin, incorrect",Y,Y,na,Y,Microsoft,B
Invoice for Service,invoiced for completed work," April 26th, 2019",12.00pm,fri,URL Redacted,"invoice, payment",Y,Y,na,Y,na,B
P_nd_ng Document,onedrive pending doc," April 25th, 2019",10.20am,thur,view document,document,y,Y,na,Y,na,B
 [IMPORTANCE] Login Review Required On Kent Email Account,verify password for login interruption," April 25th, 2019",10.15.29am EDT,na,confirm now,"verify, account,interruption",Y,Y,na,Y,Microsoft,B
 PaperWorks,document sharepoint,"April 23rd, 2019",2.41pm,tue,nview document,"share, education, ",Y,Y,"Sincerely,",na,sSharePoint,B
"Kent Request Created on 23 April, 2019 ID: #5KGI6T#","Due to request, you created ID, we need to validate "," April 23rd, 2019",10.57am,Tue,confirm now,"validate, request,",Y,Y,na,Y,Microsoft,B
RE: You're about to lose access to your Office subscription,subscription offcie 365,"April 22nd, 2019",2.03am edt,na,renew now,"subscription, disable, access, admin, payment",Y,Y,na,Y,Office365,B
(1) Failed to process your Credit Card,credir card process failure,"April 17th, 2019",5.56pm,wed,sign in to customer portal,"finance, payment, transaction, invoice, failed, ",Y,Y,"Best Regards,",Y,offcie 365,B
Easiest way to claim $1000?,clain money by watching videos,"April 17th, 2019",12.47pm EDT,na,click here to watch the instructional video,"clain, money, ",,,,,,
The Dwyer Group N0TlFlCATl0N,shared document,"April 16th, 2019",11.55am,tue,open,"notification, share",Y,Y,na,Y,na,B
" Jason Downing shared ""Proposal_(1)"" with you.",doc shared,"April 16th, 2019",12.52pm,tue,open,"share, doc, education",Y,Y,na,Y,Microsoft,B
"Kent Service U_d_t_ 15 April, 2019 RefID:XYO2OH",validating account,"April 16th, 2019",3.22pm,tue,confirm now,"share, validate, account, deactivate",Y,Y,na,Y,na,B
 Kent Request Created,validating email account,"April 16th, 2019",4.23am,tue,confirm now,"validate, account, request",Y,Y,na,Y,na,B
NEED URGENT QUOTE,cargo need to shio from your country to china asap,"  April 15th, 2019",5.10am,mon,na,urgent,na,na,na,na,na,B
Payroll,attached document for payroll," April 11th, 2019",7.17pm,thur,URL Redacted,"tax, payroll, doc",Y,Y,na,Y,na,B
 Coaching service,coaching service available ,"April 10th, 2019",11.30am,wed,na,service,Y,Y,Thanks,Y,na,B
MESSAGE ALERT,doc and audio ,"April 10th, 2019",10.22am,wed,apen attch to play/view message,"doc, share, alert",Y,Y,na,Y,SharePoint,B
A document has been sent to you via eƒ_x Online,Document sent online,"April 9th, 2019",11.35am,tue,clickhere,"share, sent, access, document",na,na,na,na,eFax,B
 Initial Closing Disclosure - Escrow #7258300 / 3061 Vaughn Street,encrypted message,"April 9th, 2019",2.28pm,tue,click here to open,encrypted,na,na,na,na,na,B
Server Notification for Kent Alert,server detect undelivered emals. Malfucntions and termination,"April 8th, 2019",5.55am,mon,na,"active, termination, alert, notification, required, malfunction",Y,Y,na,Y,na,B
message notification,pdf ,"April 8th, 2019",8.16pm,mon,download: Outstanding invoice.pdf,"notification, share, invoice, admin",Y,Y,na,Y,na,B
"[IMPORTANCE] Password Confirmation Required On kent.edu April 5, 2019, 7:29 PM Report Refrence Acc ID :35878U9LC8","one time confirmation, avoid login interruption, password verification","April 5th, 2019",3.29pm,fri,confirm,"verification, interrution, account, required, avoid, confirmation",Y,Y,na,Y,Microsoft,B
 March Statement - Kent,payroll has been submitteed. ,"April 5th, 2019",5.18pm,fri,URL Redacted,"payroll, statement, admin",Y,Y,na,Y,na,B
 RE: Your Office 365 Business Essentials Bill is ready,"office365 is ready. Payment, credit card","April 4th, 2019",11.46am,thur,Sign in to customer portal,"account, payment,",Y,Y,Thank you,Y,offcie 365,B
[Important] Login Review On Kent Users,microsoft password review," April 2nd, 2019",12.53pm,tue,confirm now,"account, confirm, verification, interruptiom",Y,Y,na,Y,Microsoft,B
New Fax Message Fax. com Report[11],find attachment,"April 1st, 2019",1.30pm,mon,na,doc,Y,Y,na,Y,na,B
Coaching Inquiry,coaching my son,"March 31st, 2019",11.02am,sun,na,"inquiry, employment",Y,Y,Thanks,Y,na,B
Job,resume attached,"March 30th, 2019",11.44am,sat,na,"job, employment",Y,Y,na,Y,na,B
From The Desk Of Mr William C.Dudley,"federal reserve bank, record of outstanding payment with federal government, ","March 30th, 2019",11.18am,sat,na,"payment, bank, federal, requested",Y,Y,"Sincerely,",Y,na,B
New fax from: Fax Service....,new fax,"March 29th, 2019",8.57am,fri,fead your fax,"enclosed, processed, received",na,na,na,na,na,B
 Make Kent State Home,message," March 27th, 2019",5.41am,wed,read this message,doc,Y,Y,Yours in Servic,Y,na,B
3/26 *** Due,pdf file,"March 26th, 2019",1.52pm,tue,file ,shared doc,na,na,na,Y,Premier1,B
Kennard is inviting you to collaborate on Past Due Invoice 100219,invoice due," March 26th, 2019",9.09pm,tue,open,"invoice, payment",Y,Y,Thanks,Y,Microsoft,B
" I'M SORRY, Apology inside…","internet business, access","March 24th, 2019",7.09pm EDT,na,follow this link,"access, hidden, serious, ",Y,Y,na,Y,na,B
Re: Office 365 - Check Your Account before is be deleted,offcie 365 essentials is ready," March 22nd, 2019",9.57am,fri,sign in to the office 365 Admin center,"invoice,deleted, account",na,ba,na,Y,Office 365,B
PO #0210-,Here is the purchase order in relation to client request,"March 22nd, 2019",10.07am,fri,#DownloadPO,"request, gift card",na,na,Thank you,Y,na,B
 RE: QUOTE STATEMENT,Please confirm if quoting is available for statement below,"March 21st, 2019",3.18am,thur,StatementPDf,"confirm, statement",Y,Y,Thank you,Y,na,B
"Here's a way to ""earn while you learn","ttrade stocks , supplement income","March 21st, 2019",10.04pm,na,click here eatch his video,"earn, income",Y,Y,na,Y,na,B
 Preliminary CD Package Has Been Generated,Your documents s can be retrieved at," March 20th, 2019",12.48pm,wed,Doc Link,package,Y,Y,Sincerely,Y,na,B
Audio Received From,ms voice audio,"March 20th, 2019",7.52AM,wed,na,attachment,Y,y,Yours in Servic,Y,na,B
